"Name","Table Name","State","Data Category","Data Type","Description","Display Folder","Error Message","Format String","Is Hidden","Modified Time","Structure Modified Time","Sort by Column","Summarize By","Type","Expression"
"RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61","Academic Performance by Term Sport and Scholarship","Ready","","Int64","","","","","True","11/21/2025 8:35:49 PM","11/21/2025 8:35:49 PM","","Default","",""
"Academic Term","Academic Performance by Term Sport and Scholarship","Ready","","String","","","","","False","11/21/2025 8:35:49 PM","11/21/2025 8:35:49 PM","","None","",""
"Award Year","Academic Performance by Term Sport and Scholarship","Ready","","Int64","","","","0","False","11/21/2025 8:35:49 PM","11/21/2025 8:35:49 PM","","Sum","",""
"Sport Name","Academic Performance by Term Sport and Scholarship","Ready","","String","","","","","False","11/21/2025 8:35:49 PM","11/21/2025 8:35:49 PM","","None","",""
"Scholarship Status","Academic Performance by Term Sport and Scholarship","Ready","","String","","","","","False","11/21/2025 8:35:49 PM","11/21/2025 8:35:49 PM","","None","",""
"Total Students","Academic Performance by Term Sport and Scholarship","Ready","","Int64","","","","0","False","11/21/2025 8:35:49 PM","11/21/2025 8:35:49 PM","","Sum","",""
"Average Career GPA","Academic Performance by Term Sport and Scholarship","Ready","","Double","","","","","False","11/21/2025 8:35:49 PM","11/21/2025 8:35:49 PM","","Sum","",""
"Average Hours Earned","Academic Performance by Term Sport and Scholarship","Ready","","Double","","","","","False","11/21/2025 8:35:49 PM","11/21/2025 8:35:49 PM","","Sum","",""
"Average Hours Attempted","Academic Performance by Term Sport and Scholarship","Ready","","Double","","","","","False","11/21/2025 8:35:49 PM","11/21/2025 8:35:49 PM","","Sum","",""
"Students with GPA Above 3.5","Academic Performance by Term Sport and Scholarship","Ready","","Int64","","","","0","False","11/21/2025 8:35:49 PM","11/21/2025 8:35:49 PM","","Sum","",""
"Students with GPA 3.0 to 3.5","Academic Performance by Term Sport and Scholarship","Ready","","Int64","","","","0","False","11/21/2025 8:35:49 PM","11/21/2025 8:35:49 PM","","Sum","",""
"Students with GPA 2.5 to 3.0","Academic Performance by Term Sport and Scholarship","Ready","","Int64","","","","0","False","11/21/2025 8:35:49 PM","11/21/2025 8:35:49 PM","","Sum","",""
"Students with GPA Below 2.5","Academic Performance by Term Sport and Scholarship","Ready","","Int64","","","","0","False","11/21/2025 8:35:49 PM","11/21/2025 8:35:49 PM","","Sum","",""
