Academic Term,Award Year,Sport Name,Total Scholarship Athletes,Total Scholarship Dollars,Average Scholarship Amount,Minimum Scholarship,Maximum Scholarship
"Fall 2025",2025,"Baseball",32,99469,3108.40625,0,8750
"Fall 2025",2025,"Basketball",16,39966,2497.875,1350,3250
"Fall 2025",2025,"Soccer",35,101651,2904.314285,0,5000
"Fall 2025",2025,"Track & Field",23,55654,2419.73913,500,3750
"Fall 2025",2025,"Volleyball",17,55000,3235.294117,2500,8750
"MAST Fall 2025",2025,"Soccer",1,7500,7500,7500,7500
"MAST Fall 2025",2025,"Track & Field",2,7500,3750,3750,3750
"Fall 2024",2024,"Baseball",28,94000,3357.142857,0,8750
"Fall 2024",2024,"Basketball",14,42500,3035.714285,250,5000
"Fall 2024",2024,"Soccer",15,51402,3426.8,2500,4652
"Fall 2024",2024,"Track & Field",6,14908,2484.666666,1250,3750
"Fall 2024",2024,"Volleyball",17,67459,3968.17647,2250,8750
"MAST Fall 2024",2024,"Basketball",2,7500,3750,3750,3750
"MAST Spring 2025",2024,"Basketball",2,7500,3750,3750,3750
"Spring 2025",2024,"Baseball",24,84750,3531.25,0,8750
"Spring 2025",2024,"Basketball",14,42360,3025.714285,110,5000
"Spring 2025",2024,"Soccer",20,67403,3370.15,0,5000
"Spring 2025",2024,"Track & Field",5,11718,2343.6,1250,3718
"Spring 2025",2024,"Volleyball",17,67451,3967.705882,2250,8750
"Fall 2023",2023,"Baseball",32,104750,3273.4375,2000,8500
"Fall 2023",2023,"Basketball",14,53350,3810.714285,2352,6500
"Fall 2023",2023,"Soccer",10,31415,3141.5,1631,3750
"Fall 2023",2023,"Track & Field",13,29650,2280.76923,0,3750
"Fall 2023",2023,"Volleyball",11,28613,2601.181818,431,4500
"Spring 2024",2023,"Baseball",35,120222,3434.914285,2000,8500
"Spring 2024",2023,"Basketball",13,49603,3815.615384,2353,6500
"Spring 2024",2023,"Soccer",13,39915,3070.384615,1630,3750
"Spring 2024",2023,"Track & Field",15,38549,2569.933333,1000,3750
"Spring 2024",2023,"Volleyball",11,28047,2549.727272,564,3750
"Fall 2022",2022,"Baseball",22,71028,3228.545454,2000,7251
"Fall 2022",2022,"Basketball",14,55169,3940.642857,1500,7750
"Fall 2022",2022,"Track & Field",9,20027,2225.222222,0,3750
"Fall 2022",2022,"Volleyball",10,37722,3772.2,422,6000
"Spring 2023",2022,"Baseball",18,50830,2823.888888,500,5534
"Spring 2023",2022,"Basketball",14,55669,3976.357142,1500,7750
"Spring 2023",2022,"Track & Field",8,16375,2046.875,0,3750
"Spring 2023",2022,"Volleyball",6,22301,3716.833333,1800,5000
"Fall 2021",2021,"Baseball",18,49796,2766.444444,0,5000
"Fall 2021",2021,"Basketball",13,53545,4118.846153,0,7750
"Fall 2021",2021,"Track & Field",6,23600,3933.333333,0,8750
"Fall 2021",2021,"Volleyball",9,42028,4669.777777,2500,7750
"Spring 2022",2021,"Baseball",15,47408,3160.533333,0,5279
"Spring 2022",2021,"Basketball",13,55756,4288.923076,162,7750
"Spring 2022",2021,"Track & Field",7,21250,3035.714285,0,7750
"Spring 2022",2021,"Volleyball",9,42028,4669.777777,2500,7750
"Fall 2020",2020,"Baseball",11,28404,2582.181818,2000,3702
"Fall 2020",2020,"Basketball",11,29431,2675.545454,0,5000
"Fall 2020",2020,"Track & Field",6,21656,3609.333333,1110,6750
"Fall 2020",2020,"Volleyball",8,26024,3253,0,6750
"Spring 2021",2020,"Baseball",8,18406,2300.75,0,3703
"Spring 2021",2020,"Basketball",9,29183,3242.555555,0,5000
"Spring 2021",2020,"Track & Field",4,18384,4596,2072,6750
"Spring 2021",2020,"Volleyball",8,27277,3409.625,253,6750
"Fall 2019",2019,"Baseball",15,39750,2650,2000,4000
"Fall 2019",2019,"Basketball",14,72823,5201.642857,2500,7020
"Fall 2019",2019,"Track & Field",4,11398,2849.5,1500,4298
"Fall 2019",2019,"Volleyball",9,44269,4918.777777,0,10118
"Spring 2020",2019,"Baseball",13,31750,2442.307692,0,4000
"Spring 2020",2019,"Basketball",14,72825,5201.785714,2500,7021
"Spring 2020",2019,"Track & Field",6,32035,5339.166666,1500,10318
"Spring 2020",2019,"Volleyball",9,46744,5193.777777,1000,10118
"Fall 2018",2018,"Baseball",10,32305,3230.5,0,5000
"Fall 2018",2018,"Basketball",12,70150,5845.833333,2500,8515
"Fall 2018",2018,"Soccer",12,76653,6387.75,2500,10318
"Fall 2018",2018,"Track & Field",4,17218,4304.5,1800,10318
"Fall 2018",2018,"Volleyball",6,33017,5502.833333,1149,10118
"Spring 2019",2018,"Baseball",5,19066,3813.2,1000,5000
"Spring 2019",2018,"Basketball",11,66151,6013.727272,2500,8514
"Spring 2019",2018,"Soccer",7,49983,7140.428571,3500,10318
"Spring 2019",2018,"Track & Field",4,5100,1275,0,2800
"Spring 2019",2018,"Volleyball",7,47845,6835,2906,10118
"Fall 2017",2017,"Baseball",16,69237,4327.3125,1500,19252
"Fall 2017",2017,"Basketball",22,119284,5422,0,7895
"Fall 2017",2017,"Soccer",15,39104,2606.933333,0,7000
"Fall 2017",2017,"Track & Field",6,50610,8435,1500,9822
"Fall 2017",2017,"Volleyball",8,51178,6397.25,1149,9626
"Spring 2018",2017,"Baseball",16,69232,4327,1500,19252
"Spring 2018",2017,"Basketball",25,128233,5129.32,0,7895
"Spring 2018",2017,"General Athletic",6,52894,8815.666666,3784,9822
"Spring 2018",2017,"Soccer",15,51748,3449.866666,0,9822
"Spring 2018",2017,"Track & Field",2,5284,2642,1500,3784
"Spring 2018",2017,"Volleyball",9,56177,6241.888888,1149,9626
