"APPID","ATTRIBUTE_CDE","ATTRIBUTE_DESC","ATTRIBUTE_TYPE","SHOW_ON_WEB_DEFAULT_VALUE","IsActive","APPROWVERSION","USER_NAME","JOB_NAME","JOB_TIME"
"-34","ASPEC","Autism Spectrum","STRPT","N","True","System.Byte[]","SA","DEFAULT_DATA_UPDATE","2/1/2018 1:04:46 PM"
"-33","IDDIS","Intellectual or Developmental Disability","STRPT","N","True","System.Byte[]","SA","DEFAULT_DATA_UPDATE","2/1/2018 1:04:46 PM"
"-32","TPRNT","Teen Parent","STRPT","N","True","System.Byte[]","sa","DEFAULT DATA UPDATE","11/13/2002 9:34:51 PM"
"-31","TDWTG","Writing Took Development Education","STRPT","N","True","System.Byte[]","sa","DEFAULT DATA UPDATE","11/13/2002 9:34:51 PM"
"-30","TDRED","Reading Took Developmental Education","STRPT","N","True","System.Byte[]","sa","DEFAULT DATA UPDATE","11/13/2002 9:34:51 PM"
"-29","TDMTH","Math Took Developmental Education","STRPT","N","True","System.Byte[]","sa","DEFAULT DATA UPDATE","11/13/2002 9:34:51 PM"
"-28","SPDHM","Single Parent/Displaced Homemaker","STRPT","N","True","System.Byte[]","sa","DEFAULT DATA UPDATE","11/13/2002 9:34:51 PM"
"-26","PSKCE","Skill Center Participant","STRPT","N","True","System.Byte[]","sa","DEFAULT DATA UPDATE","11/13/2002 9:34:51 PM"
"-25","PSBDC","Small Business Development Center Participant","STRPT","N","True","System.Byte[]","sa","DEFAULT DATA UPDATE","11/13/2002 9:34:51 PM"
"-24","PPRED","Parent Education Participant","STRPT","N","True","System.Byte[]","sa","DEFAULT DATA UPDATE","11/13/2002 9:34:51 PM"
"-23","PJOBS","JOBS Participant","STRPT","N","True","System.Byte[]","sa","DEFAULT DATA UPDATE","11/13/2002 9:34:51 PM"
"-22","PCONT","Contracted Training Participant (was targ trn/key)","STRPT","N","True","System.Byte[]","sa","DEFAULT DATA UPDATE","11/13/2002 9:34:51 PM"
"-21","PADTC","Advanced Technology Center Participant","STRPT","N","True","System.Byte[]","sa","DEFAULT DATA UPDATE","11/13/2002 9:34:51 PM"
"-20","NRWT2","Writing Remediation Needed - NO","STRPT","N","True","System.Byte[]","sa","DEFAULT DATA UPDATE","11/13/2002 9:34:51 PM"
"-19","NRWT1","Writing Remediation Needed","STRPT","N","True","System.Byte[]","sa","DEFAULT DATA UPDATE","11/13/2002 9:34:51 PM"
"-18","NRRD2","Reading Remediation Needed - NO","STRPT","N","True","System.Byte[]","sa","DEFAULT DATA UPDATE","11/13/2002 9:34:51 PM"
"-17","NRRD1","Reading Remediation Needed","STRPT","N","True","System.Byte[]","sa","DEFAULT DATA UPDATE","11/13/2002 9:34:51 PM"
"-16","NRMT2","Math Remediation Needed - NO","STRPT","N","True","System.Byte[]","sa","DEFAULT DATA UPDATE","11/13/2002 9:34:51 PM"
"-15","NRMT1","Math Remediation Needed","STRPT","N","True","System.Byte[]","sa","DEFAULT DATA UPDATE","11/13/2002 9:34:51 PM"
"-14","LEPY ","Limited English Proficency","STRPT","N","True","System.Byte[]","sa","DEFAULT DATA UPDATE","11/13/2002 9:34:51 PM"
"-13","LEPN ","Limited English Proficency - NO","STRPT","N","True","System.Byte[]","sa","DEFAULT DATA UPDATE","11/13/2002 9:34:51 PM"
"-12","INCRS"," Incarcerated Student at State Prison","STRPT","N","True","System.Byte[]","sa","DEFAULT DATA UPDATE","11/13/2002 9:34:51 PM"
"-11","INCRL"," Incarcerated Student at Local Prison","STRPT","N","True","System.Byte[]","sa","DEFAULT DATA UPDATE","11/13/2002 9:34:51 PM"
"-10","INCRF"," Incarcerated Student at Federal Prison","STRPT","N","True","System.Byte[]","sa","DEFAULT DATA UPDATE","11/13/2002 9:34:51 PM"
"-9","ECDIS","Economically Disadvantaged","STRPT","N","True","System.Byte[]","sa","DEFAULT DATA UPDATE","11/13/2002 9:34:51 PM"
"-8","DUALC","Dual Credit Student","STRPT","Y","True","System.Byte[]","FMAYFIELD","w_attribute_def","3/6/2025 11:37:20 AM"
"-6","DISWK","Dislocated Worker","STRPT","N","True","System.Byte[]","sa","DEFAULT DATA UPDATE","11/13/2002 9:34:51 PM"
"-4","CWE  ","Cooperative Work Experience Student","STRPT","N","True","System.Byte[]","sa","DEFAULT DATA UPDATE","11/13/2002 9:34:51 PM"
"-3","CCREC","Child Care Recipient","STRPT","N","True","System.Byte[]","sa","DEFAULT DATA UPDATE","11/13/2002 9:34:51 PM"
"-2","ACDIS","Academically Disadvantaged","STRPT","N","True","System.Byte[]","sa","DEFAULT DATA UPDATE","11/13/2002 9:34:51 PM"
"-1","2N2  ","2+2 Students","STRPT","N","True","System.Byte[]","sa","DEFAULT DATA UPDATE","11/13/2002 9:34:51 PM"
"1","1617B","16-17 Summer Bridge Student","","N","True","System.Byte[]","FMAYFIELD","w_attribute_def","3/6/2025 11:37:20 AM"
"2","1718B","17-18 Summer Bridge Student","","N","True","System.Byte[]","FMAYFIELD","w_attribute_def","3/6/2025 11:37:20 AM"
"3","1819B","18-19 Summer Bridge Student","","N","True","System.Byte[]","FMAYFIELD","w_attribute_def","3/6/2025 11:37:20 AM"
"5","ACADD","Academic Dean Award","","N","True","System.Byte[]","VVALENTINE","w_attribute_def","8/12/1999 9:57:08 AM"
"6","ACADH","Academic Honor Award","","N","True","System.Byte[]","VVALENTINE","w_attribute_def","8/12/1999 9:57:08 AM"
"7","ACADM","Academic Merit","","N","True","System.Byte[]","LESTES","w_attribute_def","5/8/2006 2:00:32 PM"
"8","ACADP","Academic President Award","","N","True","System.Byte[]","VVALENTINE","w_attribute_def","8/12/1999 9:57:08 AM"
"9","ACADV","Valedictorian Scholarship","","N","True","System.Byte[]","LESTES","w_attribute_def","5/8/2006 2:00:55 PM"
"11","ACHOR","Acappella Choir","","Y","True","System.Byte[]","DASHLEY","w_attribute_def","11/5/2024 11:45:38 AM"
"12","ADWTH","Administrative Withdrawal","","N","True","System.Byte[]","LESTES","w_attribute_def","3/27/2013 9:42:43 AM"
"14","AVID ","Attended AVID in High School","","Y","True","System.Byte[]","sdhayes","w_attribute_def","6/10/2020 4:28:47 PM"
"15","AVIDW","Attends AVID at Wiley College","","N","True","System.Byte[]","LSJUSTICE","w_attribute_def","10/21/2011 9:53:56 AM"
"16","BASEB","Baseball","","Y","True","System.Byte[]","TE_ADMIN","w_attribute_def","8/31/2011 3:44:51 PM"
"17","BSKTB","Basketball","","Y","True","System.Byte[]","TE_ADMIN","w_attribute_def","8/31/2011 3:44:51 PM"
"19","CHEER","Cheerleaders","","N","True","System.Byte[]","FMAYFIELD","w_attribute_def","5/23/2025 9:07:45 AM"
"21","DANCE","Dance Team","","N","True","System.Byte[]","FMAYFIELD","w_attribute_def","5/23/2025 9:07:45 AM"
"22","DBATE","Forensics/Debate","","Y","True","System.Byte[]","LSJUSTICE","w_attribute_def","9/22/2011 10:16:29 AM"
"24","DRAMA","Drama","","N","True","System.Byte[]","TE_ADMIN","w_attribute_def","8/31/2011 3:45:51 PM"
"27","ECOS ","Submitted to TEA for Review","15SPR","Y","True","System.Byte[]","TCULBERSON","w_attribute_def","12/18/2014 10:11:47 AM"
"28","FERPA","Family Educational Rights and Privacy Act","PRVCY","N","True","System.Byte[]","CSTOKER","w_attribute_def","8/26/2008 2:33:40 PM"
"29","GCHOR","Marching Band","","N","True","System.Byte[]","FMAYFIELD","w_attribute_def","3/6/2025 11:37:20 AM"
"30","GOVNT","Student Government","","Y","True","System.Byte[]","TE_ADMIN","w_attribute_def","8/31/2011 3:44:51 PM"
"31","HOUSE","Housing","","N","True","System.Byte[]","VVALENTINE","w_attribute_def","8/12/1999 9:57:08 AM"
"32","HSGPA","High School GPA","","N","True","System.Byte[]","WHAWKINS","w_attribute_def","8/7/2000 8:38:39 AM"
"37","JAZEN","Jazz Ensemble","","N","True","System.Byte[]","TE_ADMIN","w_attribute_def","8/31/2011 3:46:25 PM"
"38","LASSI","AVID testing participation & assist with tracking","","N","True","System.Byte[]","LSJUSTICE","w_attribute_def","9/17/2012 10:09:16 AM"
"41","MAJOR","Major Interest","","N","True","System.Byte[]","TE_TRAINEE","w_attribute_def","8/13/1999 1:29:12 PM"
"42","MBAND","Marching Band","","Y","True","System.Byte[]","FMAYFIELD","w_attribute_def","3/6/2025 11:37:20 AM"
"43","NEWSP","Newspaper","","N","True","System.Byte[]","VVALENTINE","w_attribute_def","8/12/1999 9:57:08 AM"
"44","NOSHO","No Show - Did Not Drop the Class or Attend","","N","True","System.Byte[]","LESTES","w_attribute_def","5/10/2013 1:06:33 PM"
"51","OLCON","Online Contract","","N","True","System.Byte[]","VMCEACHIN","w_attribute_def","2/1/2013 2:24:38 PM"
"54","PEEK ","First Year Testing AVID Students (For L. Taylor)","","N","True","System.Byte[]","TCULBERSON","w_attribute_def","2/7/2013 1:09:58 PM"
"57","PRVP ","Privacy parent release info NO","PRVCY","N","True","System.Byte[]","AHEIN","w_attribute_def","5/28/2008 7:36:43 PM"
"60","SOCER","Soccer","","Y","True","System.Byte[]","TE_ADMIN","w_attribute_def","8/31/2011 3:44:51 PM"
"61","SOFTB","Softball","","Y","True","System.Byte[]","FMAYFIELD","w_attribute_def","3/6/2025 11:37:20 AM"
"62","SPCND","Special Needs","","Y","True","System.Byte[]","TE_ADMIN","w_attribute_def","8/31/2011 11:09:07 AM"
"64","STULE","Student Leadership","","Y","True","System.Byte[]","LSJUSTICE","w_attribute_def","9/22/2011 10:17:38 AM"
"65","STWTH","Student Withdrawal (Dropped Course)","","N","True","System.Byte[]","LESTES","w_attribute_def","3/27/2013 9:54:27 AM"
"69","TE13B","Submitted to TEA ECOS 2013-2014 Beginner","13TEA","N","True","System.Byte[]","FMAYFIELD","w_attribute_def","3/6/2025 11:37:20 AM"
"70","TE13C","Submitted to TEA ECOS 2013-2014 Need Clinical","13TEA","N","True","System.Byte[]","FMAYFIELD","w_attribute_def","3/6/2025 11:37:20 AM"
"71","TE13F","Submitted to TEA ECOS 2013-2014 Finisher","13TEA","N","True","System.Byte[]","FMAYFIELD","w_attribute_def","3/6/2025 11:37:20 AM"
"72","TEA13","Submitted to TEA ECOS 2013-2014","13TEA","N","True","System.Byte[]","TCULBERSON","w_attribute_def","12/18/2014 1:44:18 PM"
"73","TEG  ","Texas Grant Eligible","STRPT","N","True","System.Byte[]","BLWILL","w_attribute_def","3/16/2004 11:40:02 AM"
"75","TRACK","Track & Field","","Y","True","System.Byte[]","TE_ADMIN","w_attribute_def","8/31/2011 3:44:51 PM"
"76","VBALL","Volleyball","","Y","True","System.Byte[]","TE_ADMIN","w_attribute_def","8/31/2011 3:44:51 PM"
"77","YRBK ","Year Book","","N","True","System.Byte[]","VVALENTINE","w_attribute_def","8/12/1999 9:57:08 AM"
